col_targes,Dataset 1,Dataset 2,Dataset 3,Dataset 4,Dataset 5,Dataset 6
Dataset 1 intra,0,1.282 ± 0.890,0.785 ± 0.233,0.917 ± 0.320,0.691 ± 0.252,0.729 ± 0.206
Dataset 1 cross,0,2.694 ± 1.212,1.638 ± 0.627,2.264 ± 0.880,1.536 ± 0.520,1.240 ± 0.480
Dataset 2 intra,1.312 ± 0.306,0,1.160 ± 0.466,1.216 ± 0.482,1.211 ± 0.458,1.137 ± 0.338
Dataset 2 cross,1.292 ± 0.459,0,1.291 ± 0.562,1.359 ± 0.546,1.301 ± 0.521,1.121 ± 0.507
Dataset 3 intra,0.512 ± 0.183,0.505 ± 0.133,0,0.540 ± 0.152,0.586 ± 0.125,0.500 ± 0.154
Dataset 3 cross,1.592 ± 0.812,2.016 ± 1.152,0,1.403 ± 0.532,1.517 ± 0.741,1.429 ± 0.693
Dataset 4 intra,0.641 ± 0.260,0.632 ± 0.278,0.581 ± 0.243,0,0.572 ± 0.291,0.577 ± 0.318
Dataset 4 cross,1.259 ± 0.510,1.662 ± 0.769,1.375 ± 0.659,0,1.423 ± 0.633,1.178 ± 0.555
Dataset 5 intra,0.887 ± 0.375,1.148 ± 0.314,0.975 ± 0.365,0.915 ± 0.402,0,0.994 ± 0.396
Dataset 5 cross,0.946 ± 0.384,1.769 ± 0.793,1.285 ± 0.429,1.102 ± 0.406,0,1.350 ± 0.445
Dataset 6 intra,1.936 ± 1.213,2.054 ± 1.238,2.166 ± 1.193,1.980 ± 0.982,2.167 ± 1.160,0
Dataset 6 cross,2.176 ± 0.986,2.562 ± 1.208,2.300 ± 1.140,2.177 ± 1.092,2.631 ± 1.137,0
