dataset,method,intra_RMSE,intra_MAPE,intra_MAE,intra_MedAE,intra_MAX,cross_RMSE,cross_MAPE,cross_MAE,cross_MedAE,cross_MAX
Dataset 1,TL,0.933 ± 0.365,0.852 ± 0.330,0.784 ± 0.304,0.745 ± 0.303,3.108 ± 1.468,1.303 ± 0.452,1.203 ± 0.490,1.111 ± 0.465,1.065 ± 0.578,3.633 ± 1.262
Dataset 1,WSL,0.734 ± 0.301,0.671 ± 0.277,0.611 ± 0.251,0.589 ± 0.274,2.387 ± 0.923,0.834 ± 0.443,0.747 ± 0.449,0.675 ± 0.411,0.581 ± 0.420,2.516 ± 0.764
Dataset 2,TL,1.650 ± 0.511,1.632 ± 0.558,1.410 ± 0.481,1.370 ± 0.556,3.829 ± 1.000,1.596 ± 0.460,1.520 ± 0.510,1.319 ± 0.438,1.200 ± 0.549,4.136 ± 0.996
Dataset 2,WSL,1.174 ± 0.301,1.133 ± 0.328,0.990 ± 0.281,0.937 ± 0.380,2.845 ± 0.645,1.221 ± 0.479,1.186 ± 0.462,1.039 ± 0.398,0.971 ± 0.420,2.904 ± 1.046
Dataset 3,TL,0.507 ± 0.124,0.476 ± 0.130,0.413 ± 0.104,0.357 ± 0.119,1.414 ± 0.348,1.656 ± 0.731,1.666 ± 0.804,1.468 ± 0.724,1.394 ± 0.853,3.240 ± 1.053
Dataset 3,WSL,0.527 ± 0.202,0.492 ± 0.197,0.433 ± 0.178,0.395 ± 0.181,1.552 ± 0.470,1.506 ± 0.633,1.544 ± 0.709,1.350 ± 0.633,1.307 ± 0.690,2.973 ± 0.980
Dataset 4,TL,0.814 ± 0.317,0.796 ± 0.355,0.678 ± 0.302,0.618 ± 0.324,1.760 ± 0.548,1.157 ± 0.523,1.162 ± 0.574,0.991 ± 0.496,0.889 ± 0.470,2.415 ± 0.807
Dataset 4,WSL,0.656 ± 0.306,0.684 ± 0.390,0.588 ± 0.322,0.561 ± 0.358,1.537 ± 0.656,1.246 ± 0.598,1.338 ± 0.739,1.127 ± 0.599,1.142 ± 0.715,2.524 ± 0.600
Dataset 5,TL,2.439 ± 0.863,2.299 ± 0.847,1.790 ± 0.577,1.363 ± 0.383,6.446 ± 2.448,2.636 ± 0.736,2.564 ± 0.759,2.026 ± 0.522,1.616 ± 0.512,6.330 ± 2.199
Dataset 5,WSL,0.851 ± 0.391,0.875 ± 0.441,0.731 ± 0.360,0.711 ± 0.418,1.858 ± 0.741,1.042 ± 0.404,1.061 ± 0.441,0.901 ± 0.376,0.854 ± 0.401,2.141 ± 0.744
